group,calcium,cho,protein,vitA,vitC,vitD,vitE,thiamin,riboflavin,niacin,vitB6,folate,vitB12,copper,iodine,iron,magnesium,molybdenum,phosphorus,selenium,zinc
1–3y,500,100,0.87,210,13,10,5,0.4,0.4,5,0.4,120,0.7,260,65,3.0,65,13,380,17,2.5
4–8y,800,100,0.76,275,22,10,6,0.5,0.5,6,0.5,160,1.0,340,65,4.1,110,17,405,23,4.0
M9–13y,1100,100,0.76,445,39,10,9,0.7,0.8,9,0.8,250,1.5,540,73,5.9,200,26,1055,35,7.0
M14–18y,1100,100,0.73,630,63,10,12,1.0,1.1,12,1.1,330,2.0,685,95,7.7,340,33,1055,45,8.5
M19–30y,800,100,0.66,625,75,10,12,1.0,1.1,12,1.1,320,2.0,700,95,6,330,34,580,45,9.4
M31–50y,800,100,0.66,625,75,10,12,1.0,1.1,12,1.1,320,2.0,700,95,6,350,34,580,45,9.4
M51–70y,800,100,0.66,625,75,10,12,1.0,1.1,12,1.4,320,2.0,700,95,6,350,34,580,45,9.4
M>70y,1000,100,0.66,625,75,10,12,1.0,1.1,12,1.4,320,2.0,700,95,6,350,34,580,45,9.4
F9–13y,1100,100,0.76,420,39,10,9,0.7,0.8,9,0.8,250,1.5,540,73,5.7,200,26,1055,35,7.0
F14–18y,1100,100,0.71,485,56,10,12,0.9,0.9,11,1.0,330,2.0,685,95,7.9,300,33,1055,45,7.3
F19–30y,800,100,0.66,500,60,10,12,0.9,0.9,11,1.1,320,2.0,700,95,8.1,255,34,580,45,6.8
F31–50y,800,100,0.66,500,60,10,12,0.9,0.9,11,1.1,320,2.0,700,95,8.1,265,34,580,45,6.8
F51–70y,1000,100,0.66,500,60,10,12,0.9,0.9,11,1.3,320,2.0,700,95,5,265,34,580,45,6.8
F>70y,1000,100,0.66,500,60,10,12,0.9,0.9,11,1.3,320,2.0,700,95,5,265,34,580,45,6.8
